Sl_No,Site Size,Type,Layout Details,Site_No,E to W,N to S,Total_Area (in sq.m),Lat,Long,Lat,Long,Google Maps Link,Layout,Block,Village,Survey.No.,"Contact Number - Site Information Coordinator
9am-5pm on working days",Rate Per Sq.Mtr in Rs.,Rate per sq.ft in Rs.,Total Area (in sq ft),Total Minimum Bid Price 
73,Regular,Intermediate,"Kumarswamy 2nd Stage, Govinayakanahalli",1919/A,9.1,12.1,110.11,Not Found,,Not Found,,NA,KUMARASWAMY 2 ND STAGE,NA,Govinayakanahalli,31,8147799282,127000,11799,#REF!,#REF!
74,Regular,Intermediate,"Kumarswamy 2nd Stage, Govinayakanahalli",1908/A,9.1,12.1,110.11,12.898726,77.562715,12.898726,77.562715,"https://www.google.com/maps?q=12.898726,77.562715",KUMARASWAMY 2 ND STAGE,NA,Govinayakanahalli,30,8147799282,127000,11799,#REF!,#REF!
75,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1140,9,12,108,12.876459,77.508216,12.876459,77.508216,"https://www.google.com/maps?q=12.876459,77.508216",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
76,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1137,9,12,108,12.876216,77.508193,12.876216,77.508193,"https://www.google.com/maps?q=12.876216,77.508193",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
77,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1136,9,12,108,12.876135,77.508185,12.876135,77.508185,"https://www.google.com/maps?q=12.876135,77.508185",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
78,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1135,9,12,108,12.876054,77.508177,12.876054,77.508177,"https://www.google.com/maps?q=12.876054,77.508177",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
79,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1134,9,12,108,12.875973,77.508169,12.875973,77.508169,"https://www.google.com/maps?q=12.875973,77.508169",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
80,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1133,9,12,108,12.875892,77.508161,12.875892,77.508161,"https://www.google.com/maps?q=12.875892,77.508161",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
81,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1106,12,9,108,12.875614,77.508457,12.875614,77.508457,"https://www.google.com/maps?q=12.875614,77.508457",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
82,Regular,Corner,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1218,12,9,108,12.876437,77.507097,12.876437,77.507097,"https://www.google.com/maps?q=12.876437,77.507097",Banashankari 6th stage,5th,Hemmigepura,21,9844916955,69300,6438,#REF!,#REF!
83,Regular,Corner,"JP Nagar 9th Phase, 7th Block, Raghuvanapalya",139,12,4.5,54,12.865224,77.571085,12.865224,77.571085,"https://www.google.com/maps?q=12.865224,77.571085",JP NAGAR 9TH Phase 7th Block,7th,Raghuvanapalya,30,8310525317,106000,9848,#REF!,#REF!
